(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		Bo10 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box805.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		True door (1) (823 verts)	-1	False	True	True	4	[a0cf1b3d0c9917eb3791bf446600470e--cedar-wood-birch-wood (UnityEngine.Material)] [18 - Default (UnityEngine.Material)] [4b800ee5 (UnityEngine.Material)] [03 - Default (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Box810.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box780.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo41 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box782.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		rise (550 verts)	-1	False	False	True	1	[wire_229166215 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Bo21 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo29 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		True door (2) (823 verts)	-1	False	True	True	4	[a0cf1b3d0c9917eb3791bf446600470e--cedar-wood-birch-wood (UnityEngine.Material)] [18 - Default (UnityEngine.Material)] [4b800ee5 (UnityEngine.Material)] [03 - Default (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times] [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.]
		Box772.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box788.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box786.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo28 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box767.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		open door in (1) (550 verts)	-1	False	False	True	1	[wire_229166215 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Box791.001 (66 verts)	-1	False	False	True	1	[mentos_01 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box756 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box760.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box759.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box768.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo24 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box801.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box775.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo36 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box776.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box792.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo33 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box53 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box763 (30 verts)	-1	False	False	True	1	[防滑.002 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Box811.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box761.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo4 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo26 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box790.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box763.001 (30 verts)	-1	False	False	True	1	[防滑.002 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x2 times]
		Box771.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box754 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box755 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		descent (550 verts)	-1	False	False	True	1	[wire_229166215 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Box808.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box752 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Cylinder01.001 (1264 verts)	-1	False	False	True	1	[wire_027177088 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Cylinder28.006 (672 verts)	-1	False	False	True	1	[wire_027177027 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Bo48 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box799.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box764.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box785.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box765.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo16 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box759 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box781.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box784.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box802.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box02.001 (35 verts)	-1	False	False	True	6	[wire_229166215 (UnityEngine.Material)] [Material__78 (UnityEngine.Material)] [Material__77 (UnityEngine.Material)] [Material__81 (UnityEngine.Material)] [Material__80 (UnityEngine.Material)] [Material__79 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x3 times]
		Cylinder28.007 (672 verts)	-1	False	False	True	1	[wire_027177027 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Bo7 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box787.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo15 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box52 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box759.001 (1) (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo43 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box756.001 (66 verts)	-1	False	False	True	1	[mentos_box_05 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box778.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box769.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo34 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo12 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box752.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box813.001 (66 verts)	-1	False	False	True	1	[menu (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo3 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box804.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box793.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo39 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box779.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box774.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo6 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Cylinder28.005 (672 verts)	-1	False	False	True	1	[wire_027177027 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Bo37 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo32 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box798.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo47 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box797.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box754.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box800.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Plane02.001 (96 verts)	-1	False	False	True	2	[è«»ذي ok (UnityEngine.Material)] [SY088 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Bo22 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo1 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo25 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box766.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box809.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box806.001 (66 verts)	-1	False	False	True	1	[mia_material_x1SG.001 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box789.001 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Cylinder16.002 (672 verts)	-1	False	False	True	1	[wire_027177027 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x1 times]
		Box755.001 (66 verts)	-1	False	False	True	1	[menu (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Box760 (66 verts)	-1	False	False	True	1	[Metal-010 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
		Bo30 (66 verts)	-1	False	False	True	1	[mentos_box_06 (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 186x4 times]
	Standard (26588 verts): 
		Cube (2) (24 verts)	-1	False	False	False	1	[黑塑料.002 (UnityEngine.Material)] 	
		Line3495 (656 verts)	-1	False	False	False	1	[黑塑料.002 (UnityEngine.Material)] 	
		Line14.003 (114 verts)	-1	False	False	False	1	[wire_225088199 (UnityEngine.Material)] 	
		Box03.003 (56 verts)	-1	False	False	False	1	[wire_028028177 (UnityEngine.Material)] 	
		 choesSHOP men (24 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
		Line3486 (504 verts)	-1	False	False	False	1	[金属_拉毛_B.002 (UnityEngine.Material)] 	
		Loft138 (3168 verts)	-1	False	False	False	1	[电梯扶手.002 (UnityEngine.Material)] 	
		Cube (1) (24 verts)	-1	False	False	False	1	[黑塑料.002 (UnityEngine.Material)] 	
		Line3489.001 (656 verts)	-1	False	False	False	1	[黑塑料.002 (UnityEngine.Material)] 	
		Cube (9) (24 verts)	-1	False	False	False	1	[Metal-010 (UnityEngine.Material)] 	
		Cube (5) (24 verts)	-1	False	False	False	1	[黑塑料.002 (UnityEngine.Material)] 	
		Loft139.001 (3168 verts)	-1	False	False	False	1	[电梯扶手.002 (UnityEngine.Material)] 	
		Line12.001 (105 verts)	-1	False	False	False	1	[wire_225088199 (UnityEngine.Material)] 	
		Line3494.001 (325 verts)	-1	False	False	False	1	[黑塑料.002 (UnityEngine.Material)] 	
		Line03.001 (194 verts)	-1	False	False	False	1	[wire_228214153 (UnityEngine.Material)] 	
		Line13.002 (121 verts)	-1	False	False	False	1	[wire_225088199 (UnityEngine.Material)] 	
		Box03.002 (4 verts)	-1	False	False	False	1	[Material.018 (UnityEngine.Material)] 	
		Line3496 (1141 verts)	-1	False	False	False	1	[金属_拉毛_B.002 (UnityEngine.Material)] 	
		Cube (9) (24 verts)	-1	False	False	False	1	[Metal-010 (UnityEngine.Material)] 	
		Line13.003 (121 verts)	-1	False	False	False	1	[wire_225088199 (UnityEngine.Material)] 	
		Loft139 (3168 verts)	-1	False	False	False	1	[电梯扶手.002 (UnityEngine.Material)] 	
		Line3489 (656 verts)	-1	False	False	False	1	[黑塑料.002 (UnityEngine.Material)] 	
		Line3487.001 (399 verts)	-1	False	False	False	1	[黑塑料.002 (UnityEngine.Material)] 	
		wall 1 (24 verts)	-1	False	False	False	1	[Metal-010 (UnityEngine.Material)] 	
		Line3494 (325 verts)	-1	False	False	False	1	[黑塑料.002 (UnityEngine.Material)] 	
		Loft140 (200 verts)	-1	False	False	False	1	[金属_拉毛_B.002 (UnityEngine.Material)] 	
		Cube (4) (24 verts)	-1	False	False	False	1	[Arch_044__021_juice_box_2 (UnityEngine.Material)] 	
		Cube (24 verts)	-1	False	False	False	1	[黑塑料.002 (UnityEngine.Material)] 	
		Box762.001 (48 verts)	-1	False	False	False	1	[dti4.002 (UnityEngine.Material)] 	
		Box762 (48 verts)	-1	False	False	False	1	[dti4.002 (UnityEngine.Material)] 	
		Line05.001 (128 verts)	-1	False	False	False	1	[wire_225088199 (UnityEngine.Material)] 	
		Line3486.001 (504 verts)	-1	False	False	False	1	[金属_拉毛_B.002 (UnityEngine.Material)] 	
		Line3495.001 (656 verts)	-1	False	False	False	1	[黑塑料.002 (UnityEngine.Material)] 	
		Line14.002 (114 verts)	-1	False	False	False	1	[wire_225088199 (UnityEngine.Material)] 	
		Line3487 (399 verts)	-1	False	False	False	1	[黑塑料.002 (UnityEngine.Material)] 	
		wall 2 (24 verts)	-1	False	False	False	1	[Metal-010 (UnityEngine.Material)] 	
		check if player outside (1) (0 verts)	-1	False	False	False	1	[Default-Material (UnityEngine.Material)] 	
		Plane03.001 (4 verts)	-1	False	False	False	1	[wire_057008136 (UnityEngine.Material)] 	
		stairs side.001 (28 verts)	-1	False	False	False	1	[金属_拉毛_B.002 (UnityEngine.Material)] 	
		Box01.001 (215 verts)	-1	False	False	False	1	[wire_148177027 (UnityEngine.Material)] 	
		Loft138.001 (3168 verts)	-1	False	False	False	1	[电梯扶手.002 (UnityEngine.Material)] 	
